n_experiment,pattern,length,n_rows,n_cols,rank,cond,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,time,error
1,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.000139989,0.0
1,forsythe,16777216,4096,4096,4096,6.7108864e7,0.999755859375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.029999519,0.0
1,foxgood,256,16,16,14,7.400837143868666e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.42e-5,1.9984014443252818e-15
1,foxgood,65536,256,256,26,3.031564451260052e19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004430576,1.201816424156732e-12
1,foxgood,16777216,4096,4096,31,1.642139634396655e22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.532185686,5.693908677883996e-10
1,frank,256,16,16,16,2.3070609671476466e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.077e-5,1.7763568394002505e-15
1,frank,65536,256,256,255,2.4287185848103603e18,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.002154224,1.5109777450561523e-5
1,frank,16777216,4096,4096,4095,6.618182392997065e19,0.4996338486671448,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.347350898,3.99790748e9
1,golub,256,16,16,15,2.4323595452054477e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.231e-5,6.178169087434071e-11
1,golub,65536,256,256,246,1.4123784285334945e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004263987,1.042513986249105e-8
1,golub,16777216,4096,4096,3929,3.6618834211317914e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.212747763,0.00016034088844207872
1,gravity,256,16,16,16,18403.73075569562,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,2.522e-5,1.2434497875801753e-14
1,gravity,65536,256,256,46,3.4320442554713354e19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004339737,1.5116796703296131e-12
1,gravity,16777216,4096,4096,42,3.098274729596803e21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.237963869,6.218976444927193e-10
1,grcar,256,16,16,16,3.111265682500184,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.453e-5,4.440892098500626e-15
1,grcar,65536,256,256,256,3.6214522942239875,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.000279867,2.4868995751603507e-14
1,grcar,16777216,4096,4096,4096,3.62771501842049,0.9987797141075134,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.026907533,3.090860900556436e-13
1,hadamard,256,16,16,16,1.0000000000000007,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.09e-5,0.0
1,hadamard,65536,256,256,256,1.0000000000000024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.00399794,0.0
1,hadamard,16777216,4096,4096,4096,1.000000000000034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.306274344,0.0
1,hankel,256,16,16,16,19.14892505322292,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.075e-5,1.9895196601282805e-13
1,hankel,65536,256,256,256,259.00921273784587,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004327527,1.7389538697898388e-9
1,hankel,16777216,4096,4096,4096,4099.000575668276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.243676284,5.4163858294487e-5
1,heat,256,16,16,15,4.4371055017648886e18,0.46875,0.0,0.0,0.0,0.0,0.0,1.0,dgetrf,2.101e-5,2.9774863130604956e-12
1,heat,65536,256,256,250,3.0748558630867957e72,0.498046875,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.000966653,NaN
1,hilb,256,16,16,12,4.069512794757315e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.149e-5,1.9984014443252818e-15
1,hilb,65536,256,256,20,5.346923398615569e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004190348,4.704014955336788e-13
1,hilb,16777216,4096,4096,27,4.471256316332622e21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.483157542,5.222904331247946e-10
1,invhilb,256,16,16,14,3.2265887835793734e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.93e-5,60833.68309593201
1,invol,256,16,16,10,1.9567338030444577e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.5569e-5,0.00039989153447450576
1,invol,65536,256,256,6,3.557689279802562e59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004172248,1.1749849774836855e183
