n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
2,kahan,256,16,16,16,419.7869817397411,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.0,6.0e-6,9.370343680117523e-18
2,kahan,65536,256,256,255,1.0522906218544412e26,0.498046875,0.0,0.0,0.0,0.0,1.0,0.0,klu,0.0,0.000165167,7.812293094054941e-18
2,kahan,256,16,16,16,419.7869817397411,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.0,6.0e-6,9.370343680117523e-18
3,kms,256,16,16,16,8.462012849559207,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.667e-6,4.4023084112950106e-17
1,kms,65536,256,256,256,8.99705215026586,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000401291,2.1529839499932604e-17
3,kms,256,16,16,16,8.462012849559207,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.667e-6,4.4023084112950106e-17
2,lehmer,256,16,16,16,233.25528511015742,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.875e-6,1.970474100921363e-17
3,lehmer,65536,256,256,256,69102.73118940718,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000337792,1.0053808576394805e-17
2,lehmer,256,16,16,16,233.25528511015742,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.875e-6,1.970474100921363e-17
1,lotkin,256,16,16,12,6.191880984524667e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.667e-6,1.2184407604089089e-17
2,lotkin,65536,256,256,19,4.892639371087678e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000354833,2.9701257046101567e-18
1,lotkin,256,16,16,12,6.191880984524667e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.667e-6,1.2184407604089089e-17
1,magic,256,16,16,3,1.649301932191887e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.792e-6,1.9110727008561142e-17
2,magic,65536,256,256,3,1.7003277660358371e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000358417,4.633458702195876e-18
1,magic,256,16,16,3,1.649301932191887e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.792e-6,1.9110727008561142e-17
