n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
1,deriv2,65536,256,256,256,79681.22110174366,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.003215333,2.218303442526798e-17
1,dingdong,256,16,16,16,2.597041432373485,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.375e-6,3.6023588001444167e-17
1,dingdong,256,16,16,16,2.597041432373485,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,2.916e-6,4.5458e-5,1.5411012830603125e-14
1,dingdong,256,16,16,16,2.597041432373485,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,1.7834e-5,1.3517090489275577e-14
1,dingdong,65536,256,256,256,3.6884666368943666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000348667,2.538278886201453e-17
1,dingdong,65536,256,256,256,3.6884666368943666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,4.5542e-5,0.001779625,4.8075619772000715e-15
1,dingdong,65536,256,256,256,3.6884666368943666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.003511,9.483231178068638e-16
1,erdrey,65536,256,256,256,571.9865524113811,0.97833251953125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.9e-5,0.0003605,8.877886458667726e-17
1,erdrey,65536,256,256,256,571.9865524113811,0.97833251953125,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,4.5125e-5,0.000666584,4.905744784709907e-17
1,erdrey,65536,256,256,256,571.9865524113811,0.97833251953125,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.000426,2.5597661797205108e-14
1,erdrey,65536,256,256,256,571.9865524113811,0.97833251953125,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.0,0.00074525,6.190089225467525e-17
1,fiedler,256,16,16,16,175.37549663067028,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.958e-6,1.3732059204819548e-17
1,fiedler,256,16,16,16,175.37549663067028,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,2.583e-6,4.3291e-5,1.6942001388694844e-17
1,fiedler,256,16,16,16,175.37549663067028,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,1.9792e-5,2.0146362155320346e-16
1,fiedler,65536,256,256,256,45532.98575491217,0.00390625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000351542,1.3981559406362334e-17
1,fiedler,65536,256,256,256,45532.98575491217,0.00390625,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,4.9167e-5,0.001990625,1.5457453048264528e-17
1,fiedler,65536,256,256,256,45532.98575491217,0.00390625,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.003272917,1.4760319033425043e-15
1,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.542e-6,0.0
1,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,2.375e-6,2.0458e-5,0.0
1,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,8.709e-6,0.0
1,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.0,1.65e-5,0.0
1,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000345959,0.0
1,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,3.8458e-5,3.0375e-5,0.0
1,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,2.4292e-5,0.0
1,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.0,8.5958e-5,0.0
1,foxgood,256,16,16,14,7.681935762674974e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,6.625e-6,2.6788428786892774e-17
1,foxgood,256,16,16,14,7.681935762674974e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,6.55e-5,0.000723334,1.489598662348908e-16
1,foxgood,256,16,16,14,7.681935762674974e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,4.5583e-5,1.0899611798694564e-16
1,foxgood,65536,256,256,26,7.189129992476877e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000436208,8.772161703817e-18
1,foxgood,65536,256,256,26,7.189129992476877e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,4.575e-5,0.002240584,1.9145113121548998e-16
1,foxgood,65536,256,256,26,7.189129992476877e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.003416083,4.0410123680019874e-17
1,frank,256,16,16,16,2.3048660109097006e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.417e-6,1.0527214351738312e-18
1,frank,256,16,16,16,2.3048660109097006e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,2.542e-6,9.1667e-5,3.2370881468437793e-18
